Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Abilene Police Dept,TX,12,117063,578,4,68,,112,394
Addison Police Dept,TX,12,13056,97,1,7,,20,69
Alamo Police Dept,TX,12,18353,154,0,13,,18,123
Alice Police Dept,TX,12,19104,166,0,8,,7,151
Allen Police Dept,TX,12,84246,65,0,12,,18,35
Alton City Police Dept,TX,12,12341,27,0,1,,7,19
Alvin Police Dept,TX,12,24236,45,0,5,,20,20
Amarillo Police Dept,TX,12,190695,1200,10,102,,238,850
Andrews Police Dept,TX,12,11088,49,0,9,,0,40
Angleton Police Dept,TX,12,18862,75,1,11,,13,50
Arlington Police Dept,TX,12,365438,1925,16,119,,532,1258
Athens Police Dept,TX,12,12710,62,0,9,,16,37
Austin Police Dept,TX,12,790390,3790,38,265,,1231,2256
Azle Police Dept,TX,12,10947,30,1,1,,6,22
Balch Springs Police Dept,TX,12,23728,222,1,27,,51,143
Bay City Police Dept,TX,12,17614,45,2,12,,12,19
Baytown Police Dept,TX,12,71802,301,6,21,,148,126
Beaumont Police Dept,TX,12,118296,900,10,65,,312,513
Bedford Police Dept,TX,12,46979,210,4,18,,33,155
Beeville Police Dept,TX,12,12863,44,0,3,,5,36
Bellaire Police Dept,TX,12,16855,15,0,1,,10,4
Bellmead Police Dept,TX,12,9901,157,2,8,,19,128
Belton Police Dept,TX,12,18216,79,0,0,,10,69
Benbrook Police Dept,TX,12,21234,37,1,4,,11,21
Big Spring Police Dept,TX,12,27282,178,0,17,,9,152
Boerne Police Dept,TX,12,10471,21,0,2,,1,18
Borger Police Dept,TX,12,13251,186,1,15,,7,163
Brenham Police Dept,TX,12,15716,62,0,2,,9,51
Brownsville Police Dept,TX,12,175023,563,7,31,,165,360
Brownwood Police Dept,TX,12,19288,123,0,10,,12,101
Bryan Police Dept,TX,12,76201,410,4,34,,90,282
Burkburnett Police Dept,TX,12,10811,5,0,0,,1,4
Burleson Police Dept,TX,12,36690,69,0,9,,9,51
Canyon Police Dept,TX,12,13303,13,1,1,,2,9
Carrollton Police Dept,TX,12,119097,184,4,4,,63,113
Cedar Hill Police Dept,TX,12,45028,104,1,10,,29,64
Cedar Park City Police Dept,TX,12,48937,58,2,8,,12,36
Cibolo Police Dept,TX,12,15349,17,0,4,,1,12
Cleburne Police Dept,TX,12,29337,174,0,28,,16,130
Clute Police Dept,TX,12,11211,54,1,3,,6,44
College Station Police Dept,TX,12,93857,220,3,37,,44,136
Colleyville Police Dept,TX,12,22807,5,0,0,,2,3
Conroe Police Dept,TX,12,56207,248,5,22,,80,141
Converse Police Dept,TX,12,18198,31,2,2,,12,15
Coppell Police Dept,TX,12,38659,66,1,7,,11,47
Copperas Cove Police Dept,TX,12,32032,149,2,1,,15,131
Corinth City Police Dept,TX,12,19935,20,0,1,,2,17
Corpus Christi Police Dept,TX,12,305215,2068,16,191,,389,1472
Corsicana Police Dept,TX,12,23770,112,0,7,,25,80
Crowley Police Dept,TX,12,12838,29,0,1,,3,25
Dallas Police Dept,TX,12,1197816,9161,148,505,,4487,4021
Deer Park Police Dept,TX,12,32010,28,3,8,,5,12
Del Rio Police Dept,TX,12,35591,73,0,2,,16,55
Denison Police Dept,TX,12,22682,78,1,3,,13,61
Denton Police Dept,TX,12,113383,312,3,60,,64,185
De Soto Police Dept,TX,12,49047,135,1,11,,46,77
Dickinson City Police Dept,TX,12,18680,45,0,5,,15,25
Donna City Police Dept,TX,12,15798,113,1,7,,12,93
Dumas Police Dept,TX,12,14691,39,0,8,,2,29
Duncanville Police Dept,TX,12,38524,135,1,8,,65,61
Eagle Pass Police Dept,TX,12,26248,58,0,0,,8,50
Edinburg Police Dept,TX,12,77100,232,2,23,,44,163
El Campo Police Dept,TX,12,11602,39,0,2,,7,30
El Paso Police Dept,TX,12,649121,2861,5,179,,479,2198
Ennis Police Dept,TX,12,18513,65,0,2,,19,44
Euless Police Dept,TX,12,51277,141,1,22,,50,68
Farmers Branch Police Dept,TX,12,28616,51,0,2,,24,25
Flower Mound Police Dept,TX,12,64669,43,0,4,,6,33
Forest Hill Police Dept,TX,12,12355,93,0,6,,26,61
Forney Police Dept,TX,12,14661,25,0,6,,9,10
Fort Worth Police Dept,TX,12,741206,4301,63,325,,1330,2583
Fredericksburg Police Dept,TX,12,10530,1,0,0,,0,1
Freeport Police Dept,TX,12,12049,35,0,5,,4,26
Friendswood Police Dept,TX,12,35805,25,0,4,,10,11
Frisco Police Dept,TX,12,116989,129,0,13,,23,93
Gainesville Police Dept,TX,12,16002,54,0,2,,12,40
Galena Park Police Dept,TX,12,10887,19,0,3,,8,8
Galveston Police Dept,TX,12,47743,373,1,77,,128,167
Garland Police Dept,TX,12,226876,492,7,39,,209,237
Gatesville Police Dept,TX,12,15751,22,2,5,,3,12
Georgetown Police Dept,TX,12,47400,54,0,13,,4,37
Glenn Heights Police Dept,TX,12,11278,49,0,3,,6,40
Grand Prairie Police Dept,TX,12,175396,599,4,66,,193,336
Grapevine Police Dept,TX,12,46334,75,2,10,,16,47
Greenville Police Dept,TX,12,25557,210,0,19,,41,150
Groves Police Dept,TX,12,16144,52,0,2,,12,38
Haltom City Police Dept,TX,12,42409,173,5,11,,49,108
Harker Heights Police Dept,TX,12,26700,45,1,9,,8,27
Harlingen Police Dept,TX,12,64849,399,3,34,,87,275
Henderson Police Dept,TX,12,13712,85,0,4,,15,66
Hereford Police Dept,TX,12,15370,62,0,2,,3,57
Hewitt Police Dept,TX,12,13549,34,0,2,,2,30
Hidalgo Police Dept,TX,12,11198,16,0,3,,6,7
Highland Village Police Dept,TX,12,15056,3,0,0,,0,3
Horizon City Police Dept,TX,12,16735,18,0,0,,1,17
Houston Police Dept,TX,12,2099451,22491,269,712,,9449,12061
Humble Police Dept,TX,12,15133,153,0,26,,74,53
Huntsville Police Dept,TX,12,38548,159,2,13,,47,97
Hurst Police Dept,TX,12,37337,167,0,10,,44,113
Hutto Police Dept,TX,12,14698,28,0,2,,0,26
Irving Police Dept,TX,12,216290,529,6,36,,170,317
Jacinto City Police Dept,TX,12,10553,25,0,0,,10,15
Jacksonville Police Dept,TX,12,14544,95,0,11,,25,59
Katy Police Dept,TX,12,14102,36,0,1,,23,12
Keller Police Dept,TX,12,39627,18,0,5,,0,13
Kerrville Police Dept,TX,12,22347,44,0,0,,8,36
Kilgore Police Dept,TX,12,12975,51,0,9,,7,35
Killeen Police Dept,TX,12,127921,993,11,91,,259,632
Kingsville Police Dept,TX,12,26213,266,1,19,,15,231
Kyle Police Dept,TX,12,28016,51,1,6,,2,42
La Marque Police Dept,TX,12,14509,138,2,15,,35,86
La Porte Police Dept,TX,12,33800,47,0,6,,14,27
Lake Jackson Police Dept,TX,12,26849,49,2,7,,13,27
Lakeway Police Dept,TX,12,11391,20,0,3,,2,15
Lancaster Police Dept,TX,9,36361,1,0,1,,0,0
Laredo,TX,12,236091,1142,9,78,,209,846
League City Police Dept,TX,12,83560,69,1,18,,21,29
Leander City Police Dept,TX,12,26521,29,0,4,,2,23
Leon Valley Police Dept,TX,12,10151,38,0,3,,19,16
Levelland Police Dept,TX,12,13542,92,0,13,,3,76
Lewisville Police Dept,TX,12,95290,240,3,25,,80,132
Little Elm Police Dept,TX,12,25898,11,0,0,,2,9
Live Oak City Police Dept,TX,12,13131,21,0,6,,7,8
Lockhart Police Dept,TX,12,12698,77,0,4,,5,68
Longview Police Dept,TX,12,80455,582,10,42,,134,396
Lubbock Police Dept,TX,12,229573,2001,10,91,,328,1572
