area,year,f1units,f1change,f1value,f1valchange,f24units,f24change,f24value,f24valchange,f5units,f5change,f5value,f5valchange
"Abilene, TX",1980,569,null,71500,null,34,null,32300,null,352,null,17000,null
"Abilene, TX",1981,550,-3.3,79100,10.6,80,135.3,40600,25.7,268,-23.9,16900,-0.6
"Abilene, TX",1982,788,43.3,67400,-14.8,68,-15,44800,10.3,1280,377.6,21100,24.9
"Abilene, TX",1983,1072,36,66600,-1.2,237,248.5,46800,4.5,744,-41.9,29600,40.3
"Abilene, TX",1984,529,-50.7,71500,7.4,158,-33.3,32700,-30.1,520,-30.1,23300,-21.3
"Abilene, TX",1985,363,-31.4,87800,22.8,8,-94.9,33500,2.4,105,-79.8,37100,59.2
"Abilene, TX",1986,347,-4.4,84400,-3.9,14,75,51600,54,24,-77.1,66700,79.8
"Abilene, TX",1987,220,-36.6,84600,0.2,16,14.3,30400,-41.1,0,-100,0,-100
"Abilene, TX",1988,151,-31.4,83400,-1.4,0,-100,0,-100,0,0,0,0
"Abilene, TX",1989,108,-28.5,79400,-4.8,0,0,0,0,0,0,0,0
"Abilene, TX",1990,109,0.9,86400,8.8,13,0,67000,0,0,0,0,0
"Abilene, TX",1991,148,35.8,101300,17.2,4,-69.2,75000,11.9,0,0,0,0
"Abilene, TX",1992,275,85.8,99600,-1.7,8,100,205000,173.3,0,0,0,0
"Abilene, TX",1993,300,9.1,98400,-1.2,18,125,76700,-62.6,0,0,0,0
"Abilene, TX",1994,328,9.3,96200,-2.2,15,-16.7,56000,-27,200,0,26000,0
"Abilene, TX",1995,243,-25.9,109100,13.4,9,-40,63300,13,173,-13.5,26000,0
"Abilene, TX",1996,258,6.2,113800,4.3,11,22.2,82700,30.6,117,-32.4,26000,0
"Abilene, TX",1997,224,-13.2,117300,3.1,3,-72.7,41700,-49.6,0,-100,0,-100
"Abilene, TX",1998,262,17,128900,9.9,4,33.3,45000,7.9,0,0,0,0
"Abilene, TX",1999,189,-27.9,138600,7.5,6,50,63700,41.6,0,0,0,0
"Abilene, TX",2000,171,-9.5,134300,-3.1,18,200,63300,-0.6,192,0,53100,0
"Abilene, TX",2001,178,4.1,146400,9,220,1122.2,49600,-21.6,192,0,33000,-37.9
"Abilene, TX",2002,165,-7.3,145300,-0.8,28,-87.3,54500,9.9,0,-100,0,-100
"Abilene, TX",2003,203,23,148800,2.4,22,-21.4,65400,20,0,0,0,0
"Abilene, TX",2004,283,39.4,146800,-1.3,8,-63.6,76400,16.8,0,0,0,0
"Abilene, TX",2005,310,9.5,155500,5.9,22,175,74500,-2.5,14,0,85700,0
"Abilene, TX",2006,333,7.4,175300,12.7,16,-27.3,87100,16.9,16,14.3,93800,9.5
"Abilene, TX",2007,283,-15,162100,-7.5,10,-37.5,99300,14,0,-100,0,-100
"Abilene, TX",2008,190,-32.9,168000,3.6,6,-40,101000,1.7,0,0,0,0
"Abilene, TX",2009,214,12.6,177300,5.5,0,-100,0,-100,0,0,0,0
"Abilene, TX",2010,272,27.1,145700,-17.8,2,0,73500,0,116,0,32700,0
"Abilene, TX",2011,153,-43.8,179100,22.9,6,200,104400,42,0,-100,0,-100
"Abilene, TX",2012,241,57.5,196600,9.8,10,66.7,78000,-25.3,204,0,79400,0
"Abilene, TX",2013,292,21.2,214000,8.9,14,40,73900,-5.3,0,-100,0,-100
"Abilene, TX",2014,284,-2.7,205700,-3.9,0,-100,0,-100,0,0,0,0
"Abilene, TX",2015,303,6.7,219700,6.8,4,0,123200,0,228,0,61600,0
"Abilene, TX",2016,298,-1.7,185200,-15.7,8,100,50000,-59.4,0,-100,0,-100
"Abilene, TX",2017,282,-5.4,213700,15.4,40,400,76400,52.8,0,0,0,0
"Akron, OH",1999,3150,null,155600,null,144,null,85200,null,350,null,35700,null
"Akron, OH",2000,2576,-18.2,165900,6.6,103,-28.5,71900,-15.6,663,89.4,36700,2.8
"Akron, OH",2001,2511,-2.5,171700,3.5,208,101.9,118500,64.8,511,-22.9,45000,22.6
"Akron, OH",2002,2182,-13.1,177200,3.2,131,-37,83900,-29.2,321,-37.2,66500,47.8
"Akron, OH",2003,2730,25.1,162100,-8.5,166,26.7,87000,3.7,294,-8.4,35600,-46.5
"Akron, OH",2004,2480,-9.2,182800,12.8,172,3.6,78600,-9.7,282,-4.1,35700,0.3
"Akron, OH",2005,2146,-13.5,196300,7.4,203,18,81200,3.3,211,-25.2,35800,0.3
"Akron, OH",2006,1746,-18.6,202900,3.4,124,-38.9,91000,12.1,339,60.7,37600,5
"Akron, OH",2007,1379,-21,196400,-3.2,33,-73.4,76200,-16.3,182,-46.3,38400,2.1
"Akron, OH",2008,871,-36.8,192400,-2,27,-18.2,40200,-47.2,141,-22.5,45600,18.8
"Akron, OH",2009,670,-23.1,164500,-14.5,22,-18.5,69800,73.6,49,-65.2,35300,-22.6
"Akron, OH",2010,657,-1.9,189300,15.1,29,31.8,54100,-22.5,50,2,35300,0
"Akron, OH",2011,637,-3,183300,-3.2,6,-79.3,22900,-57.7,479,858,54700,55
"Akron, OH",2012,611,-4.1,211800,15.5,7,16.7,82900,262,0,-100,0,-100
"Akron, OH",2013,666,9,237100,11.9,8,14.3,112500,35.7,16,0,281200,0
"Akron, OH",2014,684,2.7,253700,7,16,100,118800,5.6,63,293.8,95200,-66.1
"Akron, OH",2015,792,15.8,243500,-4,16,0,115600,-2.7,159,152.4,94300,-0.9
"Akron, OH",2016,905,14.3,249900,2.6,4,-75,125000,8.1,0,-100,0,-100
"Akron, OH",2017,901,-0.4,250100,0.1,8,100,125000,0,11,0,72700,0
"Albany, GA",1999,727,null,107500,null,26,null,68800,null,0,null,0,null
"Albany, GA",2000,555,-23.7,107800,0.3,25,-3.8,52700,-23.4,193,0,24500,0
"Albany, GA",2001,600,8.1,107800,0,18,-28,31000,-41.2,0,-100,0,-100
"Albany, GA",2002,627,4.5,109300,1.4,58,222.2,63000,103.2,0,0,0,0
"Albany, GA",2003,612,-2.4,116900,7,34,-41.4,69000,9.5,262,0,51900,0
