area,year,population
"Abilene, TX",2007,162023
"Abilene, TX",2008,162508
"Abilene, TX",2009,163888
"Abilene, TX",2010,165252
"Abilene, TX",2011,166633
"Abilene, TX",2012,167452
"Abilene, TX",2013,167426
"Abilene, TX",2014,168143
"Abilene, TX",2015,169478
"Abilene, TX",2016,169733
"Abilene, TX",2017,170219
"Amarillo, TX",2007,244608
"Amarillo, TX",2008,246458
"Amarillo, TX",2009,249373
"Amarillo, TX",2010,251933
"Amarillo, TX",2011,255992
"Amarillo, TX",2012,257777
"Amarillo, TX",2013,258847
"Amarillo, TX",2014,260662
"Amarillo, TX",2015,261508
"Amarillo, TX",2016,263036
"Amarillo, TX",2017,264925
"Austin-Round Rock, TX",2007,1577856
"Austin-Round Rock, TX",2008,1633870
"Austin-Round Rock, TX",2009,1682338
"Austin-Round Rock, TX",2010,1716289
"Austin-Round Rock, TX",2011,1780610
"Austin-Round Rock, TX",2012,1834566
"Austin-Round Rock, TX",2013,1883528
"Austin-Round Rock, TX",2014,1942255
"Austin-Round Rock, TX",2015,2000784
"Austin-Round Rock, TX",2016,2060558
"Austin-Round Rock, TX",2017,2115827
"Beaumont-Port Arthur, TX",2007,396665
"Beaumont-Port Arthur, TX",2008,399641
"Beaumont-Port Arthur, TX",2009,401592
"Beaumont-Port Arthur, TX",2010,403190
"Beaumont-Port Arthur, TX",2011,405356
"Beaumont-Port Arthur, TX",2012,403895
"Beaumont-Port Arthur, TX",2013,405471
"Beaumont-Port Arthur, TX",2014,405754
"Beaumont-Port Arthur, TX",2015,408744
"Beaumont-Port Arthur, TX",2016,410909
"Beaumont-Port Arthur, TX",2017,412437
"Brownsville-Harlingen, TX",2007,386306
"Brownsville-Harlingen, TX",2008,393000
"Brownsville-Harlingen, TX",2009,400303
"Brownsville-Harlingen, TX",2010,406220
"Brownsville-Harlingen, TX",2011,412917
"Brownsville-Harlingen, TX",2012,415370
"Brownsville-Harlingen, TX",2013,417095
"Brownsville-Harlingen, TX",2014,418838
"Brownsville-Harlingen, TX",2015,419579
"Brownsville-Harlingen, TX",2016,421766
"Brownsville-Harlingen, TX",2017,423725
"College Station-Bryan, TX",2007,213000
"College Station-Bryan, TX",2008,218658
"College Station-Bryan, TX",2009,225114
"College Station-Bryan, TX",2010,228660
"College Station-Bryan, TX",2011,231451
"College Station-Bryan, TX",2012,234126
"College Station-Bryan, TX",2013,237820
"College Station-Bryan, TX",2014,242533
"College Station-Bryan, TX",2015,250138
"College Station-Bryan, TX",2016,254230
"College Station-Bryan, TX",2017,258044
"Corpus Christi, TX",2007,420407
"Corpus Christi, TX",2008,423168
"Corpus Christi, TX",2009,427262
"Corpus Christi, TX",2010,428185
"Corpus Christi, TX",2011,430908
"Corpus Christi, TX",2012,436575
"Corpus Christi, TX",2013,442812
"Corpus Christi, TX",2014,447671
"Corpus Christi, TX",2015,452355
"Corpus Christi, TX",2016,454066
"Corpus Christi, TX",2017,454008
"Dallas-Fort Worth-Arlington, TX",2007,6081907
"Dallas-Fort Worth-Arlington, TX",2008,6211115
"Dallas-Fort Worth-Arlington, TX",2009,6341740
"Dallas-Fort Worth-Arlington, TX",2010,6426214
"Dallas-Fort Worth-Arlington, TX",2011,6571537
"Dallas-Fort Worth-Arlington, TX",2012,6706020
"Dallas-Fort Worth-Arlington, TX",2013,6817243
"Dallas-Fort Worth-Arlington, TX",2014,6950715
"Dallas-Fort Worth-Arlington, TX",2015,7101031
"Dallas-Fort Worth-Arlington, TX",2016,7253424
"Dallas-Fort Worth-Arlington, TX",2017,7399662
"El Paso, TX",2007,759040
"El Paso, TX",2008,773304
"El Paso, TX",2009,790182
"El Paso, TX",2010,804123
"El Paso, TX",2011,822747
"El Paso, TX",2012,834478
"El Paso, TX",2013,833522
"El Paso, TX",2014,836753
"El Paso, TX",2015,836326
"El Paso, TX",2016,841220
"El Paso, TX",2017,844818
"Houston-The Woodlands-Sugar Land, TX",2007,5540882
"Houston-The Woodlands-Sugar Land, TX",2008,5676381
"Houston-The Woodlands-Sugar Land, TX",2009,5826108
"Houston-The Woodlands-Sugar Land, TX",2010,5920416
"Houston-The Woodlands-Sugar Land, TX",2011,6057947
"Houston-The Woodlands-Sugar Land, TX",2012,6183726
"Houston-The Woodlands-Sugar Land, TX",2013,6329553
"Houston-The Woodlands-Sugar Land, TX",2014,6496862
"Houston-The Woodlands-Sugar Land, TX",2015,6664187
"Houston-The Woodlands-Sugar Land, TX",2016,6798010
"Houston-The Woodlands-Sugar Land, TX",2017,6892427
"Killeen-Temple, TX",2007,380804
"Killeen-Temple, TX",2008,392237
"Killeen-Temple, TX",2009,395375
"Killeen-Temple, TX",2010,405300
"Killeen-Temple, TX",2011,412376
"Killeen-Temple, TX",2012,423529
"Killeen-Temple, TX",2013,424069
"Killeen-Temple, TX",2014,426600
"Killeen-Temple, TX",2015,432741
"Killeen-Temple, TX",2016,436803
"Killeen-Temple, TX",2017,443773
"Laredo, TX",2007,234594
"Laredo, TX",2008,240287
"Laredo, TX",2009,245908
"Laredo, TX",2010,250304
"Laredo, TX",2011,255598
"Laredo, TX",2012,259964
"Laredo, TX",2013,263962
"Laredo, TX",2014,267168
"Laredo, TX",2015,269795
"Laredo, TX",2016,272401
"Laredo, TX",2017,274794
"Longview, TX",2007,207813
"Longview, TX",2008,210058
"Longview, TX",2009,213121
"Longview, TX",2010,214369
"Longview, TX",2011,216016
"Longview, TX",2012,216693
"Longview, TX",2013,216265
"Longview, TX",2014,216445
"Longview, TX",2015,217162
"Longview, TX",2016,217314
"Longview, TX",2017,217481
"Lubbock, TX",2007,277466
"Lubbock, TX",2008,280321
"Lubbock, TX",2009,286236
"Lubbock, TX",2010,290805
"Lubbock, TX",2011,295315
